Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,IP Address
GSK-AD,Powered On,Normal,110.91  GB,110.91  GB,19,4142,10.104.91.11
GSK-Appliance1,Powered On,Normal,509.13  GB,509.13  GB,0,8258,"10.104.91.101, fe80::297b:7ab:b572:4397"
GSK-Appliance2,Powered On,Normal,508.13  GB,508.13  GB,0,8258,10.104.91.102
GSK-Appliance3,Powered On,Normal,508.13  GB,508.13  GB,0,8055,10.104.91.103
GSK-Appliance4,Powered On,Normal,524.8  GB,524.8  GB,0,8258,"10.104.91.104, fe80::48da:80dc:637d:de9c"
GSK-EX,Powered On,Normal,206.05  GB,206.05  GB,159,4141,10.104.91.12
IMPORT-ADMIN01,Powered On,Normal,166.13  GB,166.13  GB,17,16095,
IMPORT-USB-01,Powered On,Normal,166.13  GB,166.13  GB,197,16487,10.104.95.241
IMPORT-USB-02,Powered On,Normal,166.13  GB,166.13  GB,0,15972,
IMPORT-USB-03,Powered On,Normal,166.13  GB,166.13  GB,17,14872,10.104.95.243
IMPORT-USB-04,Powered On,Normal,166.13  GB,166.13  GB,0,16484,
IMPORT-USB-05,Powered On,Normal,166.13  GB,166.13  GB,35,16043,10.104.95.245
IMPORT-USB-TESTLIN01,Powered On,Normal,2.02  TB,1.02  TB,0,1452,
m0045640.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,119,16489,10.104.90.107
m0045641.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,199,16489,10.104.90.108
m0045646.ppops.net,Powered On,Normal,516.13  GB,500.13  GB,319,16485,10.104.90.21
m0045648.ppops.net,Powered On,Normal,516.13  GB,500.13  GB,59,16056,10.104.10.51
m0045649.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,199,16487,10.104.90.125
m0045650.ppops.net,Powered On,Normal,516.14  GB,500.14  GB,379,16482,"10.104.90.25, fe80::fd9f:c475:569f:b066"
m0045651.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,39,16486,
m0045652.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,19,16099,10.104.90.127
m0045653.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,919,16487,10.104.90.128
m0045654.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,119,16486,10.104.90.129
m0045655.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,6776,16489,10.104.90.130
m0045656.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,99,16489,10.104.90.131
m0045657.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,8095,16489,10.104.90.132
m0045658.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,59,16485,10.104.90.133
m0045659.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,119,16489,10.104.90.134
m0045660.ppops.net,Powered On,Normal,516.13  GB,500.13  GB,119,5265,"10.104.95.10, fe80::250:56ff:fe92:63b2"
m0045666.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,239,16489,10.104.90.113
m0045668.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,39,16488,10.104.90.114
m0045669.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,459,16488,10.104.90.115
m0045671.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,419,16487,10.104.90.116
m0045672.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,139,16488,10.104.90.117
m0045673.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,19,16102,10.104.90.118
m0045685.ppops.net,Powered Off,Normal,1.04  TB,1.03  TB,0,0,
m0045686.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,59,16487,10.104.90.109
m0045687.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,499,16488,10.104.90.110
m0045692.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,2018,16098,10.104.90.111
m0045697.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,2718,16489,10.104.90.112
m0045766.ppops.net,Powered Off,Normal,2.09  TB,2.01  TB,0,0,
m0045767.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,6696,16488,10.104.90.103
m0045768.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,439,16489,"10.104.90.101, fe80::24e5:c4ca:be9d:6a74"
m0045769.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,19,16103,"10.104.90.102, fe80::dd7f:4328:502c:1fa4"
m0081814.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,95,16488,10.104.90.119
m0081815.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,95,16488,10.104.90.120
m0081816.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,3142,16490,10.104.90.121
m0081817.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,23,16490,10.104.90.122
m0081818.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,95,16490,10.104.90.123
m0081819.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,95,16489,10.104.90.124
m0082046.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8258,10.104.91.105
m0082047.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8258,10.104.91.106
m0082048.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8258,10.104.91.107
m0082049.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8178,10.104.91.108
m0082050.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8092,10.104.91.109
m0082051.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8094,10.104.91.110
m0082052.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8257,10.104.91.111
m0082053.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8258,10.104.91.112
m0082054.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8250,10.104.91.113
m0082055.ppops.net,Powered On,Normal,208.13  GB,208.13  GB,0,8258,10.104.91.114
m0084466.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,4917,16488,10.104.90.135
m0084467.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,143,16490,10.104.90.136
m0084468.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,863,16489,10.104.90.137
m0084469.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,407,16486,10.104.90.138
m0084470.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,23,16485,10.104.90.139
m0084471.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,215,16490,10.104.90.140
m0084472.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,671,16488,10.104.90.141
m0084473.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,2998,16489,10.104.90.142
m0084474.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,383,16486,10.104.90.143
m0084475.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,503,16490,10.104.90.144
m0084476.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,71,16489,10.104.90.145
m0084477.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,7484,16489,10.104.90.146
m0084478.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,89,16487,10.104.90.147
m0084479.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,2518,16488,10.104.90.148
m0084480.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,1493,16489,10.104.90.149
m0084481.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,143,16488,10.104.90.150
m0084482.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,107,16489,10.104.90.151
m0084483.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,161,16488,10.104.90.152
m0084484.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,89,16485,10.104.90.153
m0084485.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,5486,16489,10.104.90.154
m0084486.ppops.net,Powered On,Alert,1.04  TB,1.04  TB,7807,16490,10.104.90.155
m0084487.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,0,13968,10.104.90.156
m0084488.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,0,16036,10.104.90.157
m0084489.ppops.net,Powered On,Normal,1.04  TB,1.03  TB,0,13524,10.104.90.158
m0095248.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,0,16099,10.104.90.159
m0095249.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,287,16485,10.104.90.160
m0095250.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,89,16487,10.104.90.161
m0095251.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,647,16487,10.104.90.162
m0095252.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,0,0,10.104.90.163
m0095253.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,0,0,10.104.90.164
m0095254.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,0,0,10.104.90.165
m0095255.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,3400,16489,10.104.90.166
m0095256.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,53,16486,10.104.90.167
m0095257.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,35,16464,10.104.90.168
m0095258.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,107,16488,10.104.90.169
m0095259.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,71,16488,10.104.90.170
m0095260.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,35,16483,10.104.90.171
m0095261.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,71,16486,10.104.90.172
m0095264.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,0,16104,10.104.90.175
m0095267.ppops.net,Powered On,Normal,1.04  TB,1.04  TB,89,16487,10.104.90.178
m0101529.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,0,8093,10.104.91.115
m0101530.ppops.net,Powered On,Normal,1.15  TB,1.15  TB,17,8093,10.104.91.116
m0101531.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,0,8255,10.104.91.117
m0101532.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8242,"10.104.91.118, fe80::8549:3a07:7af3:e8af"
m0101533.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8090,"10.104.91.119, fe80::e463:1159:65ab:a121"
m0102581.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8199,10.104.91.120
m0102582.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8092,10.104.91.121
m0102583.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8090,10.104.91.122
m0102584.ppops.net,Powered Off,Normal,158.34  GB,150  GB,0,0,
m0102585.ppops.net,Powered On,Normal,158.13  GB,158.13  GB,17,8091,10.104.91.124
m0134859.ppops.net,Powered On,Normal,166.18  GB,166.18  GB,0,16082,"192.168.128.45, 10.104.91.5, 192.168.128.125, fe80::6894:282a:25ce:3648"
m0134860.ppops.net,Powered On,Normal,329.16  TB,329.16  TB,4443,16471,10.104.91.6
m0134861.ppops.net,Powered On,Normal,166.18  GB,166.18  GB,0,16029,"10.104.91.7, 192.168.128.21, fe80::e00e:6df5:2181:8a62"
m0134862.ppops.net,Powered On,Normal,166.18  GB,166.18  GB,0,16059,10.104.91.8
USB-APP-MASTER,Powered Off,Normal,2.07  TB,1.03  TB,0,0,
USB-APP-MASTER-import,Powered Off,Normal,1.04  TB,1.03  TB,0,0,